Affinity, Balancing, Interleave, Run, Opti,Time
affinity-off,balancing-on,interleave-off,7,dynamic,36.972
affinity-off,balancing-on,interleave-off,7,cyclic,32.954
affinity-off,balancing-on,interleave-off,7,tabarnac,32.094
affinity-off,balancing-on,interleave-off,3,tabarnac,32.574
affinity-off,balancing-on,interleave-off,3,cyclic,33.338
affinity-off,balancing-on,interleave-off,3,dynamic,39.243
affinity-off,balancing-on,interleave-off,5,tabarnac,31.879
affinity-off,balancing-on,interleave-off,5,cyclic,33.504
affinity-off,balancing-on,interleave-off,5,dynamic,37.615
affinity-off,balancing-on,interleave-off,1,cyclic,33.698
affinity-off,balancing-on,interleave-off,1,tabarnac,32.587
affinity-off,balancing-on,interleave-off,1,dynamic,36.320
affinity-off,balancing-on,interleave-off,2,tabarnac,32.948
affinity-off,balancing-on,interleave-off,2,dynamic,37.973
affinity-off,balancing-on,interleave-off,2,cyclic,33.718
affinity-off,balancing-on,interleave-off,8,cyclic,32.683
affinity-off,balancing-on,interleave-off,8,dynamic,38.284
affinity-off,balancing-on,interleave-off,8,tabarnac,32.202
affinity-off,balancing-on,interleave-off,9,dynamic,37.979
affinity-off,balancing-on,interleave-off,9,tabarnac,33.373
affinity-off,balancing-on,interleave-off,9,cyclic,32.747
affinity-off,balancing-on,interleave-off,6,cyclic,33.828
affinity-off,balancing-on,interleave-off,6,dynamic,38.375
affinity-off,balancing-on,interleave-off,6,tabarnac,32.722
affinity-off,balancing-on,interleave-off,4,tabarnac,33.113
affinity-off,balancing-on,interleave-off,4,dynamic,37.278
affinity-off,balancing-on,interleave-off,4,cyclic,32.994
affinity-off,balancing-on,interleave-off,10,cyclic,33.350
affinity-off,balancing-on,interleave-off,10,dynamic,37.750
affinity-off,balancing-on,interleave-off,10,tabarnac,32.509
affinity-off,balancing-on,interleave-on,2,dynamic,41.016
affinity-off,balancing-on,interleave-on,2,tabarnac,39.016
affinity-off,balancing-on,interleave-on,2,cyclic,32.977
affinity-off,balancing-on,interleave-on,9,dynamic,40.416
affinity-off,balancing-on,interleave-on,9,tabarnac,39.795
affinity-off,balancing-on,interleave-on,9,cyclic,32.961
affinity-off,balancing-on,interleave-on,6,dynamic,40.194
affinity-off,balancing-on,interleave-on,6,tabarnac,38.936
affinity-off,balancing-on,interleave-on,6,cyclic,32.583
affinity-off,balancing-on,interleave-on,5,tabarnac,38.992
affinity-off,balancing-on,interleave-on,5,dynamic,40.428
affinity-off,balancing-on,interleave-on,5,cyclic,32.713
affinity-off,balancing-on,interleave-on,3,tabarnac,39.009
